sample_name	altitude	anonymized_name	body_habitat	body_product	body_site	collection_date	country	depth	description	dna_extracted	elevation	env_biome	env_feature	host_common_name	host_subject_id	host_taxid	latitude	longitude	physical_specimen_remaining	prairie_dog_colony	public	qiita_study_id	sample_type	title
316.B1	0	B1	UBERON:multi-cellular organism	UBERON:multi-tissue structure	UBERON:multi-cellular organism	3/16/2007	GAZ:United States of America	0		true	1619	ENVO:organism-associated habitat	ENVO:organism-associated habitat	flea	20	7509	40.24448	-105.22746	false	C11	true	316	XXQIITAXX	Bacterial_communities_of_disease_vectors_sampled_across_time_space_and_species
316.B10	0	B10	UBERON:multi-cellular organism	UBERON:multi-tissue structure	UBERON:multi-cellular organism	3/13/2007	GAZ:United States of America	0		true	1619	ENVO:organism-associated habitat	ENVO:organism-associated habitat	flea	1	7509	40.24448	-105.22746	false	C11	true	316	XXQIITAXX	Bacterial_communities_of_disease_vectors_sampled_across_time_space_and_species
316.B11	0	B11	UBERON:multi-cellular organism	UBERON:multi-tissue structure	UBERON:multi-cellular organism	3/13/2007	GAZ:United States of America	0		true	1619	ENVO:organism-associated habitat	ENVO:organism-associated habitat	flea	2	7509	40.24448	-105.22746	false	C11	true	316	XXQIITAXX	Bacterial_communities_of_disease_vectors_sampled_across_time_space_and_species
316.B12	0	B12	UBERON:multi-cellular organism	UBERON:multi-tissue structure	UBERON:multi-cellular organism	3/13/2007	GAZ:United States of America	0	Oropsylla hirsuta	true	1619	ENVO:organism-associated habitat	ENVO:organism-associated habitat	prairie dog flea	3	483075	40.24448	-105.22746	false	C11	true	316	XXQIITAXX	Bacterial_communities_of_disease_vectors_sampled_across_time_space_and_species
316.B13	0	B13	UBERON:multi-cellular organism	UBERON:multi-tissue structure	UBERON:multi-cellular organism	3/13/2007	GAZ:United States of America	0	Oropsylla hirsuta	true	1619	ENVO:organism-associated habitat	ENVO:organism-associated habitat	prairie dog flea	4	483075	40.24448	-105.22746	false	C11	true	316	XXQIITAXX	Bacterial_communities_of_disease_vectors_sampled_across_time_space_and_species
316.B14	0	B14	UBERON:multi-cellular organism	UBERON:multi-tissue structure	UBERON:multi-cellular organism	3/13/2007	GAZ:United States of America	0	Oropsylla hirsuta	true	1619	ENVO:organism-associated habitat	ENVO:organism-associated habitat	prairie dog flea	5	483075	40.24448	-105.22746	false	C11	true	316	XXQIITAXX	Bacterial_communities_of_disease_vectors_sampled_across_time_space_and_species
316.B15	0	B15	UBERON:multi-cellular organism	UBERON:multi-tissue structure	UBERON:multi-cellular organism	3/13/2007	GAZ:United States of America	0	Oropsylla hirsuta	true	1619	ENVO:organism-associated habitat	ENVO:organism-associated habitat	prairie dog flea	6	483075	40.24448	-105.22746	false	C11	true	316	XXQIITAXX	Bacterial_communities_of_disease_vectors_sampled_across_time_space_and_species
316.B16	0	B16	UBERON:multi-cellular organism	UBERON:multi-tissue structure	UBERON:multi-cellular organism	3/13/2007	GAZ:United States of America	0	Oropsylla hirsuta	true	1619	ENVO:organism-associated habitat	ENVO:organism-associated habitat	prairie dog flea	7	483075	40.24448	-105.22746	false	C11	true	316	XXQIITAXX	Bacterial_communities_of_disease_vectors_sampled_across_time_space_and_species
316.B17	0	B17	UBERON:multi-cellular organism	UBERON:multi-tissue structure	UBERON:multi-cellular organism	3/18/2007	GAZ:United States of America	0	Oropsylla hirsuta	true	1619	ENVO:organism-associated habitat	ENVO:organism-associated habitat	prairie dog flea	24	483075	40.24448	-105.22746	false	C11	true	316	XXQIITAXX	Bacterial_communities_of_disease_vectors_sampled_across_time_space_and_species
316.B18	0	B18	UBERON:multi-cellular organism	UBERON:multi-tissue structure	UBERON:multi-cellular organism	3/18/2007	GAZ:United States of America	0	Oropsylla hirsuta	true	1619	ENVO:organism-associated habitat	ENVO:organism-associated habitat	prairie dog flea	25	483075	40.24448	-105.22746	false	C11	true	316	XXQIITAXX	Bacterial_communities_of_disease_vectors_sampled_across_time_space_and_species
