sample_name	age	age_units	assigned_dietary_group	baseline_data	body_habitat	body_product	body_site	collection_timestamp	description	diet	dna_extracted	experiment_center	experiment_title	geo_loc_name	host_common_name	host_scientific_name	host_subject_id	host_taxid	latitude	life_stage	longitude	physical_samp_avail_now	physical_specimen_location	physical_specimen_remaining	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_center	sample_type	scientific_name	taxon_id	title
11333.A1.week0	0	months	Standard_formula	Yes	UBERON:feces	UBERON:feces	UBERON:feces	2012	A0	Breast_milk	TRUE	UC Davis California National Primate Research Center	Rhesus_monkey_infant(birth_to_12_weeks)	USA:CA:Davis	rhesus monkey	Macaca mulatta	A1	9544	38	Infant	122	FALSE	UC Davis	FALSE	Host-associated	Animal	Animal distal gut	11333	UC Davis	stool	gut metagenome	749906	infant_rhesus_monkey_feeding_study
11333.A1.week12	12	months	Standard_formula		UBERON:feces	UBERON:feces	UBERON:feces	2012	A12	Standard_formula	TRUE	UC Davis California National Primate Research Center	Rhesus_monkey_infant(birth_to_12_weeks)	USA:CA:Davis	rhesus monkey	Macaca mulatta	A1	9544	38	Infant	122	FALSE	UC Davis	FALSE	Host-associated	Animal	Animal distal gut	11333	UC Davis	stool	gut metagenome	749906	infant_rhesus_monkey_feeding_study
11333.A1.week4	4	months	Standard_formula		UBERON:feces	UBERON:feces	UBERON:feces	2012	A4	Standard_formula	TRUE	UC Davis California National Primate Research Center	Rhesus_monkey_infant(birth_to_12_weeks)	USA:CA:Davis	rhesus monkey	Macaca mulatta	A1	9544	38	Infant	122	FALSE	UC Davis	FALSE	Host-associated	Animal	Animal distal gut	11333	UC Davis	stool	gut metagenome	749906	infant_rhesus_monkey_feeding_study
11333.A1.week8	8	months	Standard_formula		UBERON:feces	UBERON:feces	UBERON:feces	2012	A8	Standard_formula	TRUE	UC Davis California National Primate Research Center	Rhesus_monkey_infant(birth_to_12_weeks)	USA:CA:Davis	rhesus monkey	Macaca mulatta	A1	9544	38	Infant	122	FALSE	UC Davis	FALSE	Host-associated	Animal	Animal distal gut	11333	UC Davis	stool	gut metagenome	749906	infant_rhesus_monkey_feeding_study
11333.A2.week0	0	months	Standard_formula	Yes	UBERON:feces	UBERON:feces	UBERON:feces	2012	A0	Breast_milk	TRUE	UC Davis California National Primate Research Center	Rhesus_monkey_infant(birth_to_12_weeks)	USA:CA:Davis	rhesus monkey	Macaca mulatta	A2	9544	38	Infant	122	FALSE	UC Davis	FALSE	Host-associated	Animal	Animal distal gut	11333	UC Davis	stool	gut metagenome	749906	infant_rhesus_monkey_feeding_study
11333.A2.week12	12	months	Standard_formula		UBERON:feces	UBERON:feces	UBERON:feces	2012	A12	Standard_formula	TRUE	UC Davis California National Primate Research Center	Rhesus_monkey_infant(birth_to_12_weeks)	USA:CA:Davis	rhesus monkey	Macaca mulatta	A2	9544	38	Infant	122	FALSE	UC Davis	FALSE	Host-associated	Animal	Animal distal gut	11333	UC Davis	stool	gut metagenome	749906	infant_rhesus_monkey_feeding_study
11333.A2.week4	4	months	Standard_formula		UBERON:feces	UBERON:feces	UBERON:feces	2012	A4	Standard_formula	TRUE	UC Davis California National Primate Research Center	Rhesus_monkey_infant(birth_to_12_weeks)	USA:CA:Davis	rhesus monkey	Macaca mulatta	A2	9544	38	Infant	122	FALSE	UC Davis	FALSE	Host-associated	Animal	Animal distal gut	11333	UC Davis	stool	gut metagenome	749906	infant_rhesus_monkey_feeding_study
11333.A2.week8	8	months	Standard_formula		UBERON:feces	UBERON:feces	UBERON:feces	2012	A8	Standard_formula	TRUE	UC Davis California National Primate Research Center	Rhesus_monkey_infant(birth_to_12_weeks)	USA:CA:Davis	rhesus monkey	Macaca mulatta	A2	9544	38	Infant	122	FALSE	UC Davis	FALSE	Host-associated	Animal	Animal distal gut	11333	UC Davis	stool	gut metagenome	749906	infant_rhesus_monkey_feeding_study
11333.A3.week0	0	months	Standard_formula	Yes	UBERON:feces	UBERON:feces	UBERON:feces	2012	A0	Breast_milk	TRUE	UC Davis California National Primate Research Center	Rhesus_monkey_infant(birth_to_12_weeks)	USA:CA:Davis	rhesus monkey	Macaca mulatta	A3	9544	38	Infant	122	FALSE	UC Davis	FALSE	Host-associated	Animal	Animal distal gut	11333	UC Davis	stool	gut metagenome	749906	infant_rhesus_monkey_feeding_study
11333.A3.week12	12	months	Standard_formula		UBERON:feces	UBERON:feces	UBERON:feces	2012	A12	Standard_formula	TRUE	UC Davis California National Primate Research Center	Rhesus_monkey_infant(birth_to_12_weeks)	USA:CA:Davis	rhesus monkey	Macaca mulatta	A3	9544	38	Infant	122	FALSE	UC Davis	FALSE	Host-associated	Animal	Animal distal gut	11333	UC Davis	stool	gut metagenome	749906	infant_rhesus_monkey_feeding_study
11333.A3.week4	4	months	Standard_formula		UBERON:feces	UBERON:feces	UBERON:feces	2012	A4	Standard_formula	TRUE	UC Davis California National Primate Research Center	Rhesus_monkey_infant(birth_to_12_weeks)	USA:CA:Davis	rhesus monkey	Macaca mulatta	A3	9544	38	Infant	122	FALSE	UC Davis	FALSE	Host-associated	Animal	Animal distal gut	11333	UC Davis	stool	gut metagenome	749906	infant_rhesus_monkey_feeding_study
11333.A3.week8	8	months	Standard_formula		UBERON:feces	UBERON:feces	UBERON:feces	2012	A8	Standard_formula	TRUE	UC Davis California National Primate Research Center	Rhesus_monkey_infant(birth_to_12_weeks)	USA:CA:Davis	rhesus monkey	Macaca mulatta	A3	9544	38	Infant	122	FALSE	UC Davis	FALSE	Host-associated	Animal	Animal distal gut	11333	UC Davis	stool	gut metagenome	749906	infant_rhesus_monkey_feeding_study
11333.A4.week0	0	months	Standard_formula	Yes	UBERON:feces	UBERON:feces	UBERON:feces	2012	A0	Breast_milk	TRUE	UC Davis California National Primate Research Center	Rhesus_monkey_infant(birth_to_12_weeks)	USA:CA:Davis	rhesus monkey	Macaca mulatta	A4	9544	38	Infant	122	FALSE	UC Davis	FALSE	Host-associated	Animal	Animal distal gut	11333	UC Davis	stool	gut metagenome	749906	infant_rhesus_monkey_feeding_study
11333.A4.week12	12	months	Standard_formula		UBERON:feces	UBERON:feces	UBERON:feces	2012	A12	Standard_formula	TRUE	UC Davis California National Primate Research Center	Rhesus_monkey_infant(birth_to_12_weeks)	USA:CA:Davis	rhesus monkey	Macaca mulatta	A4	9544	38	Infant	122	FALSE	UC Davis	FALSE	Host-associated	Animal	Animal distal gut	11333	UC Davis	stool	gut metagenome	749906	infant_rhesus_monkey_feeding_study
11333.A4.week4	4	months	Standard_formula		UBERON:feces	UBERON:feces	UBERON:feces	2012	A4	Standard_formula	TRUE	UC Davis California National Primate Research Center	Rhesus_monkey_infant(birth_to_12_weeks)	USA:CA:Davis	rhesus monkey	Macaca mulatta	A4	9544	38	Infant	122	FALSE	UC Davis	FALSE	Host-associated	Animal	Animal distal gut	11333	UC Davis	stool	gut metagenome	749906	infant_rhesus_monkey_feeding_study
11333.A4.week8	8	months	Standard_formula		UBERON:feces	UBERON:feces	UBERON:feces	2012	A8	Standard_formula	TRUE	UC Davis California National Primate Research Center	Rhesus_monkey_infant(birth_to_12_weeks)	USA:CA:Davis	rhesus monkey	Macaca mulatta	A4	9544	38	Infant	122	FALSE	UC Davis	FALSE	Host-associated	Animal	Animal distal gut	11333	UC Davis	stool	gut metagenome	749906	infant_rhesus_monkey_feeding_study
11333.A5.week0	0	months	Standard_formula	Yes	UBERON:feces	UBERON:feces	UBERON:feces	2012	A0	Breast_milk	TRUE	UC Davis California National Primate Research Center	Rhesus_monkey_infant(birth_to_12_weeks)	USA:CA:Davis	rhesus monkey	Macaca mulatta	A5	9544	38	Infant	122	FALSE	UC Davis	FALSE	Host-associated	Animal	Animal distal gut	11333	UC Davis	stool	gut metagenome	749906	infant_rhesus_monkey_feeding_study
11333.A5.week12	12	months	Standard_formula		UBERON:feces	UBERON:feces	UBERON:feces	2012	A12	Standard_formula	TRUE	UC Davis California National Primate Research Center	Rhesus_monkey_infant(birth_to_12_weeks)	USA:CA:Davis	rhesus monkey	Macaca mulatta	A5	9544	38	Infant	122	FALSE	UC Davis	FALSE	Host-associated	Animal	Animal distal gut	11333	UC Davis	stool	gut metagenome	749906	infant_rhesus_monkey_feeding_study
11333.A5.week4	4	months	Standard_formula		UBERON:feces	UBERON:feces	UBERON:feces	2012	A4	Standard_formula	TRUE	UC Davis California National Primate Research Center	Rhesus_monkey_infant(birth_to_12_weeks)	USA:CA:Davis	rhesus monkey	Macaca mulatta	A5	9544	38	Infant	122	FALSE	UC Davis	FALSE	Host-associated	Animal	Animal distal gut	11333	UC Davis	stool	gut metagenome	749906	infant_rhesus_monkey_feeding_study
11333.A5.week8	8	months	Standard_formula		UBERON:feces	UBERON:feces	UBERON:feces	2012	A8	Standard_formula	TRUE	UC Davis California National Primate Research Center	Rhesus_monkey_infant(birth_to_12_weeks)	USA:CA:Davis	rhesus monkey	Macaca mulatta	A5	9544	38	Infant	122	FALSE	UC Davis	FALSE	Host-associated	Animal	Animal distal gut	11333	UC Davis	stool	gut metagenome	749906	infant_rhesus_monkey_feeding_study
11333.C11.week0	0	months	Probiotic_formula	Yes	UBERON:feces	UBERON:feces	UBERON:feces	2012	C0	Breast_milk	TRUE	UC Davis California National Primate Research Center	Rhesus_monkey_infant(birth_to_12_weeks)	USA:CA:Davis	rhesus monkey	Macaca mulatta	C11	9544	38	Infant	122	FALSE	UC Davis	FALSE	Host-associated	Animal	Animal distal gut	11333	UC Davis	stool	gut metagenome	749906	infant_rhesus_monkey_feeding_study
