sample_name	animal	continent	country	description	dna_extracted	elevation	env_biome	env_feature	env_material	env_package	geo_loc_name	host_subject_id	latitude	longitude	moisture	pasteurized	ph	physical_specimen_location	physical_specimen_remaining	qiita_study_id	regionstate	rindtype	salt	sample_type	scientific_name	style	taxon_id	title
11488.CSB279	c	North_America	USA	cheese rind biofilm	TRUE	193	urban biome	anthropogenic environmental material	cheese product	microbial mat/biofilm	USA	Bethlehem	41.611893	-73.210236	33.33333333	N	6.95	UCSD	TRUE	11488	Connecticut	natural	0.044293775	cheese	food fermentation metagenome	NA	1154581	Cheese Rind Communities Provide Tractable Systems for In Situ and In Vitro Studies of Microbial Diversity
11488.CSB280	c	North_America	USA	cheese rind biofilm	TRUE	193	urban biome	anthropogenic environmental material	cheese product	microbial mat/biofilm	USA	Bethlehem	41.611893	-73.210236	34.80519481	N	6.55	UCSD	TRUE	11488	Connecticut	natural	0.045997737	cheese	food fermentation metagenome	NA	1154581	Cheese Rind Communities Provide Tractable Systems for In Situ and In Vitro Studies of Microbial Diversity
11488.CSB281	c	North_America	USA	cheese rind biofilm	TRUE	193	urban biome	anthropogenic environmental material	cheese product	microbial mat/biofilm	USA	Bethlehem	41.611893	-73.210236	31.33333333	N	6.54	UCSD	TRUE	11488	Connecticut	natural	0.068926154	cheese	food fermentation metagenome	NA	1154581	Cheese Rind Communities Provide Tractable Systems for In Situ and In Vitro Studies of Microbial Diversity
11488.CSB282	c	North_America	USA	cheese rind biofilm	TRUE	193	urban biome	anthropogenic environmental material	cheese product	microbial mat/biofilm	USA	Bethlehem	41.611893	-73.210236	34.90566038	N	6.55	UCSD	TRUE	11488	Connecticut	natural	0.030862483	cheese	food fermentation metagenome	NA	1154581	Cheese Rind Communities Provide Tractable Systems for In Situ and In Vitro Studies of Microbial Diversity
11488.CSB290	c	North_America	USA	cheese rind biofilm	TRUE	193	urban biome	anthropogenic environmental material	cheese product	microbial mat/biofilm	USA	Pleasant_Ridge_Reserve	43.054545	-90.136253	18.88111888	N	6.29	UCSD	TRUE	11488	Wisconsin	washed	0.220927133	cheese	food fermentation metagenome	alpine	1154581	Cheese Rind Communities Provide Tractable Systems for In Situ and In Vitro Studies of Microbial Diversity
11488.CSB291	c	North_America	USA	cheese rind biofilm	TRUE	193	urban biome	anthropogenic environmental material	cheese product	microbial mat/biofilm	USA	Pleasant_Ridge_Reserve	43.054545	-90.136253	18.04123711	N	6.15	UCSD	TRUE	11488	Wisconsin	washed	0.300428558	cheese	food fermentation metagenome	alpine	1154581	Cheese Rind Communities Provide Tractable Systems for In Situ and In Vitro Studies of Microbial Diversity
11488.CSB292	c	North_America	USA	cheese rind biofilm	TRUE	193	urban biome	anthropogenic environmental material	cheese product	microbial mat/biofilm	USA	Pleasant_Ridge_Reserve	43.054545	-90.136253	22.89156627	N	6.1	UCSD	TRUE	11488	Wisconsin	washed	0.0850591	cheese	food fermentation metagenome	alpine	1154581	Cheese Rind Communities Provide Tractable Systems for In Situ and In Vitro Studies of Microbial Diversity
11488.CSB299	g	Europe	France	cheese rind biofilm	TRUE	193	urban biome	anthropogenic environmental material	cheese product	microbial mat/biofilm	France	Cosne_de_Port_Aubry	47.389123	2.907705	33.91089109	N	6.33	UCSD	TRUE	11488	Centre	bloomy	0.286382511	cheese	food fermentation metagenome	NA	1154581	Cheese Rind Communities Provide Tractable Systems for In Situ and In Vitro Studies of Microbial Diversity
11488.CSB300	g	Europe	France	cheese rind biofilm	TRUE	193	urban biome	anthropogenic environmental material	cheese product	microbial mat/biofilm	France	Cosne_de_Port_Aubry	47.389123	2.907705	25.35211268	N	6.76	UCSD	TRUE	11488	Centre	bloomy	0.178213553	cheese	food fermentation metagenome	NA	1154581	Cheese Rind Communities Provide Tractable Systems for In Situ and In Vitro Studies of Microbial Diversity
11488.CSB301	g	Europe	France	cheese rind biofilm	TRUE	193	urban biome	anthropogenic environmental material	cheese product	microbial mat/biofilm	France	Cosne_de_Port_Aubry	47.389123	2.907705	47.56838906	N	6.37	UCSD	TRUE	11488	Centre	bloomy	0.134602767	cheese	food fermentation metagenome	NA	1154581	Cheese Rind Communities Provide Tractable Systems for In Situ and In Vitro Studies of Microbial Diversity
11488.CSB302	s	Europe	France	cheese rind biofilm	TRUE	193	urban biome	anthropogenic environmental material	cheese product	microbial mat/biofilm	France	Fromage_du_Maquis	42.0396	9.01289	47.64011799	Y	7.08	UCSD	TRUE	11488	Corsica	natural	0.085097163	cheese	food fermentation metagenome	NA	1154581	Cheese Rind Communities Provide Tractable Systems for In Situ and In Vitro Studies of Microbial Diversity
11488.CSB303	s	Europe	France	cheese rind biofilm	TRUE	193	urban biome	anthropogenic environmental material	cheese product	microbial mat/biofilm	France	Fromage_du_Maquis	42.0396	9.01289	46.77419355	Y	6.7	UCSD	TRUE	11488	Corsica	natural	0.092828815	cheese	food fermentation metagenome	NA	1154581	Cheese Rind Communities Provide Tractable Systems for In Situ and In Vitro Studies of Microbial Diversity
11488.CSB304	s	Europe	France	cheese rind biofilm	TRUE	193	urban biome	anthropogenic environmental material	cheese product	microbial mat/biofilm	France	Fromage_du_Maquis	42.0396	9.01289	27.72861357	Y	7.48	UCSD	TRUE	11488	Corsica	natural	0.073228464	cheese	food fermentation metagenome	NA	1154581	Cheese Rind Communities Provide Tractable Systems for In Situ and In Vitro Studies of Microbial Diversity
11488.CSB305	s	Europe	France	cheese rind biofilm	TRUE	193	urban biome	anthropogenic environmental material	cheese product	microbial mat/biofilm	France	Lavort_Brebis	46.008276	3.486423	18.79699248	N	6.9	UCSD	TRUE	11488	Auvergne	natural	0.153357695	cheese	food fermentation metagenome	NA	1154581	Cheese Rind Communities Provide Tractable Systems for In Situ and In Vitro Studies of Microbial Diversity
11488.CSB306	s	Europe	France	cheese rind biofilm	TRUE	193	urban biome	anthropogenic environmental material	cheese product	microbial mat/biofilm	France	Lavort_Brebis	46.008276	3.486423	29.74137931	N	7.08	UCSD	TRUE	11488	Auvergne	natural	0.179628052	cheese	food fermentation metagenome	NA	1154581	Cheese Rind Communities Provide Tractable Systems for In Situ and In Vitro Studies of Microbial Diversity
11488.CSB307	s	Europe	France	cheese rind biofilm	TRUE	193	urban biome	anthropogenic environmental material	cheese product	microbial mat/biofilm	France	Lavort_Brebis	46.008276	3.486423	26.4516129	N	6.96	UCSD	TRUE	11488	Auvergne	natural	0.166631299	cheese	food fermentation metagenome	NA	1154581	Cheese Rind Communities Provide Tractable Systems for In Situ and In Vitro Studies of Microbial Diversity
11488.CSB308	g	Europe	France	cheese rind biofilm	TRUE	193	urban biome	anthropogenic environmental material	cheese product	microbial mat/biofilm	France	Maconnais	46.306884	4.828731	22.22222222	N	6.12	UCSD	TRUE	11488	Bourgogne	bloomy	0.480657935	cheese	food fermentation metagenome	NA	1154581	Cheese Rind Communities Provide Tractable Systems for In Situ and In Vitro Studies of Microbial Diversity
11488.CSB309	g	Europe	France	cheese rind biofilm	TRUE	193	urban biome	anthropogenic environmental material	cheese product	microbial mat/biofilm	France	Maconnais	46.306884	4.828731	23.48484848	N	5.95	UCSD	TRUE	11488	Bourgogne	bloomy	0.451199575	cheese	food fermentation metagenome	NA	1154581	Cheese Rind Communities Provide Tractable Systems for In Situ and In Vitro Studies of Microbial Diversity
