sample_name	collection_timestamp	description	dna_extracted	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	experiment	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_product	host_body_site	host_common_name	host_scientific_name	host_subject_id	host_taxid	kdday	kdexperiment	kdtreatment1	kdtreatment2	latitude	longitude	mouse_strain	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_type	scientific_name	sex	taxon_id	title
11566.S1	2018	SPFCDDay0_1	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFCDDay0_1	10090	0	Exp1	CD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
11566.S10	2018	SPFKDDay4_1	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFKDDay4_1	10090	4	Exp1	KD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
11566.S11	2018	SPFKDDay4_2	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFKDDay4_2	10090	4	Exp1	KD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
11566.S12	2018	SPFKDDay4_3	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFKDDay4_3	10090	4	Exp1	KD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
11566.S13	2018	SPFCDDay8_1	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFCDDay8_1	10090	8	Exp1	CD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
11566.S14	2018	SPFCDDay8_2	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFCDDay8_2	10090	8	Exp1	CD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
11566.S15	2018	SPFCDDay8_3	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFCDDay8_3	10090	8	Exp1	CD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
11566.S16	2018	SPFKDDay8_1	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFKDDay8_1	10090	8	Exp1	KD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
11566.S17	2018	SPFKDDay8_2	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFKDDay8_2	10090	8	Exp1	KD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
11566.S18	2018	SPFKDDay8_3	TRUE	127	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	KD	USA:CA:Los Angeles	not provided	days	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	SPFKDDay8_3	10090	8	Exp1	KD	Not applicable	34.0689	-118.4452	C3HeB/FeJ Kcna1_/_	UCLA	FALSE	11566	feces	mouse gut metagenome	not provided	410661	Ketogenic diet consumption and gut microbiota composition
