sample_name	age	age_units	body_habitat	body_product	body_site	collection_timestamp	description	dna_extracted	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	experiment_center	geo_loc_name	host_common_name	host_life_stage	host_scientific_name	host_subject_id	host_taxid	latitude	longitude	physical_samp_avail_now	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_center	sample_type	scientific_name	sex	taxon_id	title
11653.AEST1630	563	days	UBERON:feces	UBERON:feces	UBERON:feces	2013-03-11 09:00	Control.Juvenile01	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	juvenile	Macaca mulatta	AE.Z11153	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.AFST1044	7	days	UBERON:feces	UBERON:feces	UBERON:feces	2011-09-02 09:00	Control.Infant01	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	neonate	Macaca mulatta	AF.Z11154	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.AFST1631	563	days	UBERON:feces	UBERON:feces	UBERON:feces	2013-03-11 09:00	Control.Juvenile02	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	juvenile	Macaca mulatta	AF.Z11154	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.AIST1067	8	days	UBERON:feces	UBERON:feces	UBERON:feces	2011-09-15 09:00	Control.Infant02	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	neonate	Macaca mulatta	AI.Z11161	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.AIST1632	551	days	UBERON:feces	UBERON:feces	UBERON:feces	2013-03-11 09:00	Control.Juvenile03	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	juvenile	Macaca mulatta	AI.Z11161	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.AKST1075	7	days	UBERON:feces	UBERON:feces	UBERON:feces	2011-09-22 09:00	Control.Infant03	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	neonate	Macaca mulatta	AK.Z11163	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.AKST1633	543	days	UBERON:feces	UBERON:feces	UBERON:feces	2013-03-11 09:00	Control.Juvenile04	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	juvenile	Macaca mulatta	AK.Z11163	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.RLST0101	5	days	UBERON:feces	UBERON:feces	UBERON:feces	2008-07-31 09:00	Control.Infant04	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	neonate	Macaca mulatta	RL.M08120	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.RLST0412	604	days	UBERON:feces	UBERON:feces	UBERON:feces	2010-03-22 09:00	Control.Juvenile05	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	juvenile	Macaca mulatta	RL.M08120	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.RMST0102	7	days	UBERON:feces	UBERON:feces	UBERON:feces	2008-08-11 09:00	Control.Infant05	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	neonate	Macaca mulatta	RM.M08129	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.RMST0413	595	days	UBERON:feces	UBERON:feces	UBERON:feces	2010-03-22 09:00	Control.Juvenile06	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	juvenile	Macaca mulatta	RM.M08129	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.RNST0103	9	days	UBERON:feces	UBERON:feces	UBERON:feces	2008-08-18 09:00	Control.Infant06	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	neonate	Macaca mulatta	RN.M08136	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.RNST0433	615	days	UBERON:feces	UBERON:feces	UBERON:feces	2010-04-16 09:00	Control.Juvenile07	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	juvenile	Macaca mulatta	RN.M08136	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.ROST0104	7	days	UBERON:feces	UBERON:feces	UBERON:feces	2008-08-18 09:00	Control.Infant07	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	neonate	Macaca mulatta	RO.M08137	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
11653.ROST0434	613	days	UBERON:feces	UBERON:feces	UBERON:feces	2010-04-16 09:00	Control.Juvenile08	TRUE	Host-asssociated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	Washington National Primate Research Center	USA:WA	Rhesus macaque	juvenile	Macaca mulatta	RO.M08137	9544	48	-122	FALSE	UC Davis	FALSE	11653	UC Davis	feces	gut metagenome	male	749906	Monkey vaccination project
