sample_name	age_units	anonymized_name	center_project_name	chkage	collection_timestamp	country	description	dna_extracted	dpi	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	experiment_center	experiment_title	geo_loc_name	height_unit	host_age	host_body_habitat	host_body_mass_index	host_body_product	host_body_site	host_common_name	host_height	host_life_stage	host_scientific_name	host_subject_id	host_taxid	host_weight	latitude	longitude	physical_specimen_location	physical_specimen_remaining	public	qiita_study_id	samp_size	sample_center	sample_type	scientific_name	sex	taxon_id	title	treatment	treatmentdpi	trial	trialtreatmentdpi	weight_unit
11735.10C	days	10C	ZBKK	14do	2016-02	GAZ:United States of America	Wet brown content	TRUE	14dpi	16	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	intestine environment	host-associated	UCDANS	Zhou_2WK	USA:CA:Davis	Not collected	28	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:digestive tract	chicken	Not collected	chick	Gallus gallus	10C	9031	Not collected	38.5539	-121.7381	UC Davis	TRUE	FALSE	11735	150mg	UC Davis	cecal content	chicken gut metagenome	Not collected	506600	ZBKK	Noninfected	Noninfected_14dpi	Zhou	Zhou_Noninfected_14dpi	Not collected
11735.11C	days	11C	ZBKK	14do	2016-02	GAZ:United States of America	Wet brown content	TRUE	14dpi	16	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	intestine environment	host-associated	UCDANS	Zhou_2WK	USA:CA:Davis	Not collected	28	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:digestive tract	chicken	Not collected	chick	Gallus gallus	11C	9031	Not collected	38.5539	-121.7381	UC Davis	TRUE	FALSE	11735	150mg	UC Davis	cecal content	chicken gut metagenome	Not collected	506600	ZBKK	Noninfected	Noninfected_14dpi	Zhou	Zhou_Noninfected_14dpi	Not collected
11735.12C	days	12C	ZBKK	14do	2016-02	GAZ:United States of America	Wet brown content	TRUE	14dpi	16	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	intestine environment	host-associated	UCDANS	Zhou_2WK	USA:CA:Davis	Not collected	28	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:digestive tract	chicken	Not collected	chick	Gallus gallus	12C	9031	Not collected	38.5539	-121.7381	UC Davis	TRUE	FALSE	11735	150mg	UC Davis	cecal content	chicken gut metagenome	Not collected	506600	ZBKK	Noninfected	Noninfected_14dpi	Zhou	Zhou_Noninfected_14dpi	Not collected
11735.13C	days	13C	ZBKK	14do	2016-02	GAZ:United States of America	Wet brown content	TRUE	14dpi	16	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	intestine environment	host-associated	UCDANS	Zhou_2WK	USA:CA:Davis	Not collected	28	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:digestive tract	chicken	Not collected	chick	Gallus gallus	13C	9031	Not collected	38.5539	-121.7381	UC Davis	TRUE	FALSE	11735	150mg	UC Davis	cecal content	chicken gut metagenome	Not collected	506600	ZBKK	Noninfected	Noninfected_14dpi	Zhou	Zhou_Noninfected_14dpi	Not collected
11735.14C	days	14C	ZBKK	14do	2016-02	GAZ:United States of America	Wet brown content	TRUE	14dpi	16	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	intestine environment	host-associated	UCDANS	Zhou_2WK	USA:CA:Davis	Not collected	28	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:digestive tract	chicken	Not collected	chick	Gallus gallus	14C	9031	Not collected	38.5539	-121.7381	UC Davis	TRUE	FALSE	11735	150mg	UC Davis	cecal content	chicken gut metagenome	Not collected	506600	ZBKK	Noninfected	Noninfected_14dpi	Zhou	Zhou_Noninfected_14dpi	Not collected
11735.15C	days	15C	ZBKK	14do	2016-02	GAZ:United States of America	Wet brown content	TRUE	21dpi	16	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	intestine environment	host-associated	UCDANS	Zhou_2WK	USA:CA:Davis	Not collected	35	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:digestive tract	chicken	Not collected	chick	Gallus gallus	15C	9031	Not collected	38.5539	-121.7381	UC Davis	TRUE	FALSE	11735	150mg	UC Davis	cecal content	chicken gut metagenome	Not collected	506600	ZBKK	Noninfected	Noninfected_21dpi	Zhou	Zhou_Noninfected_21dpi	Not collected
11735.16C	days	16C	ZBKK	14do	2016-02	GAZ:United States of America	Wet brown content	TRUE	21dpi	16	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	intestine environment	host-associated	UCDANS	Zhou_2WK	USA:CA:Davis	Not collected	35	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:digestive tract	chicken	Not collected	chick	Gallus gallus	16C	9031	Not collected	38.5539	-121.7381	UC Davis	TRUE	FALSE	11735	150mg	UC Davis	cecal content	chicken gut metagenome	Not collected	506600	ZBKK	Noninfected	Noninfected_21dpi	Zhou	Zhou_Noninfected_21dpi	Not collected
11735.17C	days	17C	ZBKK	14do	2016-02	GAZ:United States of America	Wet brown content	TRUE	21dpi	16	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	intestine environment	host-associated	UCDANS	Zhou_2WK	USA:CA:Davis	Not collected	35	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:digestive tract	chicken	Not collected	chick	Gallus gallus	17C	9031	Not collected	38.5539	-121.7381	UC Davis	TRUE	FALSE	11735	150mg	UC Davis	cecal content	chicken gut metagenome	Not collected	506600	ZBKK	Noninfected	Noninfected_21dpi	Zhou	Zhou_Noninfected_21dpi	Not collected
11735.18C	days	18C	ZBKK	14do	2016-02	GAZ:United States of America	Wet brown content	TRUE	21dpi	16	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	intestine environment	host-associated	UCDANS	Zhou_2WK	USA:CA:Davis	Not collected	35	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:digestive tract	chicken	Not collected	chick	Gallus gallus	18C	9031	Not collected	38.5539	-121.7381	UC Davis	TRUE	FALSE	11735	150mg	UC Davis	cecal content	chicken gut metagenome	Not collected	506600	ZBKK	Noninfected	Noninfected_21dpi	Zhou	Zhou_Noninfected_21dpi	Not collected
11735.19C	days	19C	ZBKK	14do	2016-02	GAZ:United States of America	Wet brown content	TRUE	21dpi	16	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	intestine environment	host-associated	UCDANS	Zhou_2WK	USA:CA:Davis	Not collected	35	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:digestive tract	chicken	Not collected	chick	Gallus gallus	19C	9031	Not collected	38.5539	-121.7381	UC Davis	TRUE	FALSE	11735	150mg	UC Davis	cecal content	chicken gut metagenome	Not collected	506600	ZBKK	Noninfected	Noninfected_21dpi	Zhou	Zhou_Noninfected_21dpi	Not collected
11735.1C	days	1C	ZBKK	14do	2016-02	GAZ:United States of America	Wet brown content	TRUE	3dpi	16	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	intestine environment	host-associated	UCDANS	Zhou_2WK	USA:CA:Davis	Not collected	17	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:digestive tract	chicken	Not collected	chick	Gallus gallus	1C	9031	Not collected	38.5539	-121.7381	UC Davis	TRUE	FALSE	11735	150mg	UC Davis	cecal content	chicken gut metagenome	Not collected	506600	ZBKK	Noninfected	Noninfected_3dpi	Zhou	Zhou_Noninfected_3dpi	Not collected
11735.2C	days	2C	ZBKK	14do	2016-02	GAZ:United States of America	Wet brown content	TRUE	3dpi	16	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	intestine environment	host-associated	UCDANS	Zhou_2WK	USA:CA:Davis	Not collected	17	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:digestive tract	chicken	Not collected	chick	Gallus gallus	2C	9031	Not collected	38.5539	-121.7381	UC Davis	TRUE	FALSE	11735	150mg	UC Davis	cecal content	chicken gut metagenome	Not collected	506600	ZBKK	Noninfected	Noninfected_3dpi	Zhou	Zhou_Noninfected_3dpi	Not collected
11735.3C	days	3C	ZBKK	14do	2016-02	GAZ:United States of America	Wet brown content	TRUE	3dpi	16	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	intestine environment	host-associated	UCDANS	Zhou_2WK	USA:CA:Davis	Not collected	17	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:digestive tract	chicken	Not collected	chick	Gallus gallus	3C	9031	Not collected	38.5539	-121.7381	UC Davis	TRUE	FALSE	11735	150mg	UC Davis	cecal content	chicken gut metagenome	Not collected	506600	ZBKK	Noninfected	Noninfected_3dpi	Zhou	Zhou_Noninfected_3dpi	Not collected
11735.4C	days	4C	ZBKK	14do	2016-02	GAZ:United States of America	Wet brown content	TRUE	3dpi	16	Host-asssociated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	intestine environment	host-associated	UCDANS	Zhou_2WK	USA:CA:Davis	Not collected	17	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:digestive tract	chicken	Not collected	chick	Gallus gallus	4C	9031	Not collected	38.5539	-121.7381	UC Davis	TRUE	FALSE	11735	150mg	UC Davis	cecal content	chicken gut metagenome	Not collected	506600	ZBKK	Noninfected	Noninfected_3dpi	Zhou	Zhou_Noninfected_3dpi	Not collected
