sample_name	catalogid	collection_timestamp	description	dna_extracted	elevation	emp_status	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_matter	env_package	geo_loc_name	host_body_habitat	host_body_product	host_body_site	host_common_name	host_sample_id	host_scientific_name	host_sex	host_subject_id	host_taxid	latitude	location_sampling	longitude	physical_specimen	physical_specimen_location	physical_specimen_remaining	prefix	public	qiita_study_id	sample_type	sampletype	scientific_name	sex	taxon_id	title
11815.BN.593.FecalFTA	No Voucher	not provided	FecalFTA	TRUE	926	EMP_Processed	Host-associated	Animal-associated	Animal distal gut	shrubland biome	animal-associated habitat	feces	gut	host-associated	Uganda:Aringa	UBERON:feces	UBERON:feces	UBERON:feces	bat	BN.593.FecalFTA	Chaerephon bivitattus	NA	BN.593	242383	3.71665	Aringa Bridge; Aringa; Uganda	32.89481	TRUE	ANL	TRUE	Gilbert_7_25_17_HB1	TRUE	11815	feces	FecalFTA	bat metagenome	not collected	1213622	Association between Afrotropical bats, microbial symbionts, and parasites
11815.BN.593.SkinEtOH	No Voucher	not provided	SkinEtOH	TRUE	926	EMP_Processed	Host-associated	Animal-associated	Animal surface	shrubland biome	animal-associated habitat	sebum	skin	host-associated	Uganda:Aringa	UBERON:skin	UBERON:sebum	UBERON:skin	bat	BN.593.SkinEtOH	Chaerephon bivitattus	NA	BN.593	242383	3.71665	Aringa Bridge; Aringa; Uganda	32.89481	TRUE	ANL	TRUE	Gilbert_7_25_17_HB2	TRUE	11815	skin	SkinEtOH	bat metagenome	not collected	1213622	Association between Afrotropical bats, microbial symbionts, and parasites
11815.BN.593.TongueEtOH	No Voucher	not provided	TongueEtOH	TRUE	926	EMP_Processed	Host-associated	Animal-associated	Animal secretion	shrubland biome	animal-associated habitat	saliva	tongue	host-associated	Uganda:Aringa	UBERON:oral cavity	UBERON:saliva	UBERON:tongue	bat	BN.593.TongueEtOH	Chaerephon bivitattus	NA	BN.593	242383	3.71665	Aringa Bridge; Aringa; Uganda	32.89481	TRUE	ANL	TRUE	Gilbert_7_25_17_HB2	TRUE	11815	saliva	TongueEtOH	bat metagenome	not collected	1213622	Association between Afrotropical bats, microbial symbionts, and parasites
11815.BN.594.FecalFTA	No Voucher	not provided	FecalFTA	TRUE	926	EMP_Processed	Host-associated	Animal-associated	Animal distal gut	shrubland biome	animal-associated habitat	feces	gut	host-associated	Uganda:Aringa	UBERON:feces	UBERON:feces	UBERON:feces	bat	BN.594.FecalFTA	Chaerephon bivitattus	NA	BN.594	242383	3.71665	Aringa Bridge; Aringa; Uganda	32.89481	TRUE	ANL	TRUE	Gilbert_7_25_17_HB1	TRUE	11815	feces	FecalFTA	bat metagenome	not collected	1213622	Association between Afrotropical bats, microbial symbionts, and parasites
11815.BN.594.SkinEtOH	No Voucher	not provided	SkinEtOH	TRUE	926	EMP_Processed	Host-associated	Animal-associated	Animal surface	shrubland biome	animal-associated habitat	sebum	skin	host-associated	Uganda:Aringa	UBERON:skin	UBERON:sebum	UBERON:skin	bat	BN.594.SkinEtOH	Chaerephon bivitattus	NA	BN.594	242383	3.71665	Aringa Bridge; Aringa; Uganda	32.89481	TRUE	ANL	TRUE	Gilbert_7_25_17_HB2	TRUE	11815	skin	SkinEtOH	bat metagenome	not collected	1213622	Association between Afrotropical bats, microbial symbionts, and parasites
11815.BN.594.TongueEtOH	No Voucher	not provided	TongueEtOH	TRUE	926	EMP_Processed	Host-associated	Animal-associated	Animal secretion	shrubland biome	animal-associated habitat	saliva	tongue	host-associated	Uganda:Aringa	UBERON:oral cavity	UBERON:saliva	UBERON:tongue	bat	BN.594.TongueEtOH	Chaerephon bivitattus	NA	BN.594	242383	3.71665	Aringa Bridge; Aringa; Uganda	32.89481	TRUE	ANL	TRUE	Gilbert_7_25_17_HB2	TRUE	11815	saliva	TongueEtOH	bat metagenome	not collected	1213622	Association between Afrotropical bats, microbial symbionts, and parasites
11815.BN.595.FecalFTA	No Voucher	not provided	FecalFTA	TRUE	926	EMP_Processed	Host-associated	Animal-associated	Animal distal gut	shrubland biome	animal-associated habitat	feces	gut	host-associated	Uganda:Aringa	UBERON:feces	UBERON:feces	UBERON:feces	bat	BN.595.FecalFTA	Chaerephon bivitattus	NA	BN.595	242383	3.71665	Aringa Bridge; Aringa; Uganda	32.89481	TRUE	ANL	TRUE	Gilbert_7_25_17_HB1	TRUE	11815	feces	FecalFTA	bat metagenome	not collected	1213622	Association between Afrotropical bats, microbial symbionts, and parasites
11815.BN.595.SkinEtOH	No Voucher	not provided	SkinEtOH	TRUE	926	EMP_Processed	Host-associated	Animal-associated	Animal surface	shrubland biome	animal-associated habitat	sebum	skin	host-associated	Uganda:Aringa	UBERON:skin	UBERON:sebum	UBERON:skin	bat	BN.595.SkinEtOH	Chaerephon bivitattus	NA	BN.595	242383	3.71665	Aringa Bridge; Aringa; Uganda	32.89481	TRUE	ANL	TRUE	Gilbert_7_25_17_HB2	TRUE	11815	skin	SkinEtOH	bat metagenome	not collected	1213622	Association between Afrotropical bats, microbial symbionts, and parasites
11815.BN.595.TongueEtOH	No Voucher	not provided	TongueEtOH	TRUE	926	EMP_Processed	Host-associated	Animal-associated	Animal secretion	shrubland biome	animal-associated habitat	saliva	tongue	host-associated	Uganda:Aringa	UBERON:oral cavity	UBERON:saliva	UBERON:tongue	bat	BN.595.TongueEtOH	Chaerephon bivitattus	NA	BN.595	242383	3.71665	Aringa Bridge; Aringa; Uganda	32.89481	TRUE	ANL	TRUE	Gilbert_7_25_17_HB2	TRUE	11815	saliva	TongueEtOH	bat metagenome	not collected	1213622	Association between Afrotropical bats, microbial symbionts, and parasites
11815.BN.596.FecalFTA	No Voucher	not provided	FecalFTA	TRUE	926	EMP_Processed	Host-associated	Animal-associated	Animal distal gut	shrubland biome	animal-associated habitat	feces	gut	host-associated	Uganda:Aringa	UBERON:feces	UBERON:feces	UBERON:feces	bat	BN.596.FecalFTA	Chaerephon bivitattus	NA	BN.596	242383	3.71665	Aringa Bridge; Aringa; Uganda	32.89481	TRUE	ANL	TRUE	Gilbert_7_25_17_HB1	TRUE	11815	feces	FecalFTA	bat metagenome	not collected	1213622	Association between Afrotropical bats, microbial symbionts, and parasites
