sample_name	airconditioning	anonymized_name	bam	birch	carpets	cat	collection_timestamp	dateon	dateonweek	description	dna_extracted	dog	dustmitecovers	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	fan	floweringplants	geo_loc_name	heightabovefloor	hepa	host_subject_id	humidavg	latitude	longitude	mitef1	mitemg2	mitep1	mold	mold_1	mouse	neighborhood	numberofcats	numberofdogs	open_windowsduring_test_pct	openwindows	orig_collection_timestamp	petallowed	physical_specimen_location	physical_specimen_remaining	qiita_study_id	ragweed	roach	sample_type	sampleplate	scientific_name	taxon_id	tempavg	timothy_grass	total_dustmites	trees	upholstered__furniture
12285.100	0	100	not provided	0	1	0.2	2015-10-07	10/7/15	41	100	TRUE	36.32	0	181	Free-living	Non-saline	Aerosol (non-saline)	urban biome	anthropogenic habitat	air	built environment	0	Yes	US:IL:Chicago	6	0	100	64	41.836	-87.684	1.87	0.6	0.2	0.11	0	0	Suburban	0	2	0	2	10/7/2015	1	Argonne National Laboratory	FALSE	12285	0	0	air	Exposome	indoor metagenome	1256227	68	2.21	2.67	Yes	0
12285.101	0	101	not provided	0	1	0	2015-10-07	10/7/15	41	101	TRUE	0.39	1	181	Free-living	Non-saline	Aerosol (non-saline)	urban biome	anthropogenic habitat	air	built environment	0	Yes	US:IL:Chicago	18	0	101	46.5	41.836	-87.684	0	0	0	0.05	7.4	0	Suburban	0	0	70	3	10/7/2015	5	Argonne National Laboratory	FALSE	12285	0	0	air	Exposome	indoor metagenome	1256227	72.4	0.75	0	Yes	0
12285.103	0	103	246	0	0	0.19	2015-10-16	10/16/15	42	103	TRUE	0.11	0	181	Free-living	Non-saline	Aerosol (non-saline)	urban biome	anthropogenic habitat	air	built environment	1	Yes	US:IL:Chicago	9.75	0	103	54	41.836	-87.684	0	0	0	0	0	0	Suburban	0	0	0	4	10/16/2015	5	Argonne National Laboratory	FALSE	12285	0	0	air	Exposome	indoor metagenome	1256227	67.7	0	0	Yes	0
12285.104	not provided	104	101	0	not provided	0	2015-10-11	10/11/15	42	104	TRUE	0	not provided	181	Free-living	Non-saline	Aerosol (non-saline)	urban biome	anthropogenic habitat	air	built environment	not provided	not provided	US:IL:Chicago	12	not provided	104	52	41.836	-87.684	0	0	0	0	0	0	not provided	not provided	not provided	not provided	not provided	10/11/2015	not provided	Argonne National Laboratory	FALSE	12285	0	0	air	Exposome	indoor metagenome	1256227	70.75	0	0	not provided	not provided
12285.108	1	108	not provided	0	1	0.04	2015-09-30	9/30/15	40	108	TRUE	0.09	0	181	Free-living	Non-saline	Aerosol (non-saline)	urban biome	anthropogenic habitat	air	built environment	0	No	US:IL:Chicago	5	0	108	63	41.836	-87.684	0	0.32	0.11	0	0	0	Suburban	0	0	10	3	9/30/2015	5	Argonne National Laboratory	FALSE	12285	0	0	air	Exposome	indoor metagenome	1256227	70.75	0.6	0.42	No	1
12285.109	1	109	347	0	0	0.19	2015	not provided	not provided	109	TRUE	39.91	1	181	Free-living	Non-saline	Aerosol (non-saline)	urban biome	anthropogenic habitat	air	built environment	1	Yes	US:IL:Chicago	not provided	0	109	not provided	41.836	-87.684	0	0	0	0	0	0	Urban	1	2	not provided	2	2015	2	Argonne National Laboratory	FALSE	12285	0	0	air	Exposome	indoor metagenome	1256227	not provided	0	0	Yes	0
12285.110	1	110	250	0	0	0.16	2015	not provided	not provided	110	TRUE	45.94	0	181	Free-living	Non-saline	Aerosol (non-saline)	urban biome	anthropogenic habitat	air	built environment	1	Yes	US:IL:Chicago	not provided	0	110	not provided	41.836	-87.684	0	0	0	0	0	0	Urban	1	2	not provided	2	2015	2	Argonne National Laboratory	FALSE	12285	0	0	air	Exposome	indoor metagenome	1256227	not provided	0	0	Yes	0
12285.112	1	112	830	0	1	0	2015-11-02	11/2/15	45	112	TRUE	0	1	181	Free-living	Non-saline	Aerosol (non-saline)	urban biome	anthropogenic habitat	air	built environment	1	Yes	US:IL:Chicago	8	0	112	51	41.836	-87.684	0	0	0	0	0	0	Suburban	0	0	0	4	11/2/2015	5	Argonne National Laboratory	FALSE	12285	0	0	air	Exposome	indoor metagenome	1256227	70.3	0	0	Yes	0
12285.114	1	114	1800	0	0	0	2015-10-3	10/3/15	40	114	TRUE	51.8	0	181	Free-living	Non-saline	Aerosol (non-saline)	urban biome	anthropogenic habitat	air	built environment	1	Yes	US:IL:Chicago	15	0	114	58.5	41.836	-87.684	0	0	0	0	2.46	0	Urban	0	2	30	4	10/3/2015	3	Argonne National Laboratory	FALSE	12285	0	0	air	Exposome	indoor metagenome	1256227	72.5	0	0	Yes	1
12285.115	1	115	185	0	1	0.05	2015-10-27	10/27/15	44	115	TRUE	4.72	1	181	Free-living	Non-saline	Aerosol (non-saline)	urban biome	anthropogenic habitat	air	built environment	0	Yes	US:IL:Chicago	15	0	115	58	41.836	-87.684	1.63	0.28	0	0	0	0	Urban	1	2	0	5	10/27/2015	5	Argonne National Laboratory	FALSE	12285	0	0	air	Exposome	indoor metagenome	1256227	74.6	0	1.91	Yes	1
12285.117	1	117	530	0	1	0.18	2015-10-26	10/26/15	44	117	TRUE	0.14	0	181	Free-living	Non-saline	Aerosol (non-saline)	urban biome	anthropogenic habitat	air	built environment	1	No	US:IL:Chicago	36	1	117	43.5	41.836	-87.684	0	0	0	0	0	0	Urban	0	0	70	2	10/26/2015	5	Argonne National Laboratory	FALSE	12285	0	0	air	Exposome	indoor metagenome	1256227	71.65	0	0	No	1
12285.120	not provided	120	644	0	not provided	0	2015-10-26	10/26/15	44	120	TRUE	0	not provided	181	Free-living	Non-saline	Aerosol (non-saline)	urban biome	anthropogenic habitat	air	built environment	not provided	not provided	US:IL:Chicago	10	not provided	120	45.5	41.836	-87.684	0	0	0	0	0	0	not provided	not provided	not provided	not provided	not provided	10/26/2015	not provided	Argonne National Laboratory	FALSE	12285	0	0	air	Exposome	indoor metagenome	1256227	70.8	0	0	not provided	not provided
12285.123	not provided	123	225	0	not provided	0.38	2015-11-09	11/9/15	46	123	TRUE	0.23	not provided	181	Free-living	Non-saline	Aerosol (non-saline)	urban biome	anthropogenic habitat	air	built environment	not provided	not provided	US:IL:Chicago	not provided	not provided	123	not provided	41.836	-87.684	0	0	0	0	0	0	not provided	not provided	not provided	not provided	not provided	11/9/2015	not provided	Argonne National Laboratory	FALSE	12285	0	0	air	Exposome	indoor metagenome	1256227	not provided	0	0	not provided	not provided
