sample_name	altitude	anonymized_name	carb_nitro_ratio	carbon_percent	carbon_substrate	clay_particle_class	collection_date	country	depth	description	dna_extracted	elevation	env_biome	env_feature	host_subject_id	latitude	longitude	nitrogen_percent	ph	physical_specimen_remaining	project_name	public	qiita_study_id	sample_type	sand_particle_class	silt_particle_class	title
213.KE1	0	KE1	12.8	2.77	none	3.5	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate grasslands	ENVO:grassland soil	KE1	45.2	-93.2	0.22	5.6	false	eilers_soils	true	213	XXQIITAXX	90	6.5	KE1
213.KE10	0	KE10			glycine	3.5	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate grasslands	ENVO:grassland soil	KE10	45.2	-93.2			false	eilers_soils	true	213	XXQIITAXX	90	6.5	KE10
213.KE11	0	KE11			glycine	3.5	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate grasslands	ENVO:grassland soil	KE11	45.2	-93.2			false	eilers_soils	true	213	XXQIITAXX	90	6.5	KE11
213.KE12	0	KE12			glycine	3.5	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate grasslands	ENVO:grassland soil	KE12	45.2	-93.2			false	eilers_soils	true	213	XXQIITAXX	90	6.5	KE12
213.KE13	0	KE13			citric acid	3.5	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate grasslands	ENVO:grassland soil	KE13	45.2	-93.2			false	eilers_soils	true	213	XXQIITAXX	90	6.5	KE13
213.KE14	0	KE14			citric acid	3.5	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate grasslands	ENVO:grassland soil	KE14	45.2	-93.2			false	eilers_soils	true	213	XXQIITAXX	90	6.5	KE14
213.KE15	0	KE15			citric acid	3.5	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate grasslands	ENVO:grassland soil	KE15	45.2	-93.2			false	eilers_soils	true	213	XXQIITAXX	90	6.5	KE15
213.KE16	0	KE16			citric acid	3.5	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate grasslands	ENVO:grassland soil	KE16	45.2	-93.2			false	eilers_soils	true	213	XXQIITAXX	90	6.5	KE16
213.KE17	0	KE17	14.9	1.81	none	4	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate broadleaf and mixed forest biome	ENVO:forest soil	KE17	45.2	-93.2	0.12	5	false	eilers_soils	true	213	XXQIITAXX	86	10	KE17
213.KE18	0	KE18	14.9	1.81	none	4	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate broadleaf and mixed forest biome	ENVO:forest soil	KE18	45.2	-93.2	0.12	5	false	eilers_soils	true	213	XXQIITAXX	86	10	KE18
213.KE19	0	KE19	14.9	1.81	none	4	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate broadleaf and mixed forest biome	ENVO:forest soil	KE19	45.2	-93.2	0.12	5	false	eilers_soils	true	213	XXQIITAXX	86	10	KE19
213.KE2	0	KE2	12.8	2.77	none	3.5	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate grasslands	ENVO:grassland soil	KE2	45.2	-93.2	0.22	5.6	false	eilers_soils	true	213	XXQIITAXX	90	6.5	KE2
213.KE20	0	KE20	14.9	1.81	none	4	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate broadleaf and mixed forest biome	ENVO:forest soil	KE20	45.2	-93.2	0.12	5	false	eilers_soils	true	213	XXQIITAXX	86	10	KE20
213.KE21	0	KE21			dextrose	4	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate broadleaf and mixed forest biome	ENVO:forest soil	KE21	45.2	-93.2			false	eilers_soils	true	213	XXQIITAXX	86	10	KE21
213.KE22	0	KE22			dextrose	4	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate broadleaf and mixed forest biome	ENVO:forest soil	KE22	45.2	-93.2			false	eilers_soils	true	213	XXQIITAXX	86	10	KE22
213.KE23	0	KE23			dextrose	4	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate broadleaf and mixed forest biome	ENVO:forest soil	KE23	45.2	-93.2			false	eilers_soils	true	213	XXQIITAXX	86	10	KE23
213.KE24	0	KE24			dextrose	4	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate broadleaf and mixed forest biome	ENVO:forest soil	KE24	45.2	-93.2			false	eilers_soils	true	213	XXQIITAXX	86	10	KE24
213.KE25	0	KE25			glycine	4	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate broadleaf and mixed forest biome	ENVO:forest soil	KE25	45.2	-93.2			false	eilers_soils	true	213	XXQIITAXX	86	10	KE25
213.KE26	0	KE26			glycine	4	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate broadleaf and mixed forest biome	ENVO:forest soil	KE26	45.2	-93.2			false	eilers_soils	true	213	XXQIITAXX	86	10	KE26
213.KE27	0	KE27			glycine	4	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate broadleaf and mixed forest biome	ENVO:forest soil	KE27	45.2	-93.2			false	eilers_soils	true	213	XXQIITAXX	86	10	KE27
213.KE28	0	KE28			glycine	4	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate broadleaf and mixed forest biome	ENVO:forest soil	KE28	45.2	-93.2			false	eilers_soils	true	213	XXQIITAXX	86	10	KE28
213.KE29	0	KE29			citric acid	4	0	GAZ:United States of America	5	soil metagenome	true	280	ENVO:Temperate broadleaf and mixed forest biome	ENVO:forest soil	KE29	45.2	-93.2			false	eilers_soils	true	213	XXQIITAXX	86	10	KE29
