sample_name	altitude	body_habitat	body_product	body_site	collection_date	country	depth	description	dna_extracted	elevation	env_biome	env_feature	host_common_name	host_subject_id	host_taxid	latitude	longitude	physical_specimen_remaining	public	qiita_study_id	replicate	sample_type	sex	storage_days	storage_temp	title
353.Female.D14.20.Axilla.Rep1a	0	UBERON:skin	UBERON:sebum	UBERON:arm skin	6/1/08	GAZ:United States of America	0	Female day 14 20C Axilla Rep1	true	1624.1	ENVO:urban biome	ENVO:human-associated habitat	human	F01	9606	40.01	-105.27	false	true	353	Rep1a	XXQIITAXX	female	14 days	20C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.Female.D14.20.Axilla.Rep1b	0	UBERON:skin	UBERON:sebum	UBERON:arm skin	6/1/08	GAZ:United States of America	0	Female day 14 20C Axilla Rep1	true	1624.1	ENVO:urban biome	ENVO:human-associated habitat	human	F01	9606	40.01	-105.27	false	true	353	Rep1b	XXQIITAXX	female	14 days	20C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.Female.D14.20.Axilla.Rep2a	0	UBERON:skin	UBERON:sebum	UBERON:arm skin	6/1/08	GAZ:United States of America	0	Female day 14 20C Axilla Rep2	true	1624.1	ENVO:urban biome	ENVO:human-associated habitat	human	F01	9606	40.01	-105.27	false	true	353	Rep2a	XXQIITAXX	female	14 days	20C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.Female.D14.20.Axilla.Rep2b	0	UBERON:skin	UBERON:sebum	UBERON:arm skin	6/1/08	GAZ:United States of America	0	Female day 14 20C Axilla Rep2	true	1624.1	ENVO:urban biome	ENVO:human-associated habitat	human	F01	9606	40.01	-105.27	false	true	353	Rep2b	XXQIITAXX	female	14 days	20C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.Female.D14.20.Axilla.Rep3a	0	UBERON:skin	UBERON:sebum	UBERON:arm skin	6/1/08	GAZ:United States of America	0	Female day 14 20C Axilla Rep3	true	1624.1	ENVO:urban biome	ENVO:human-associated habitat	human	F01	9606	40.01	-105.27	false	true	353	Rep3a	XXQIITAXX	female	14 days	20C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.Female.D14.20.Axilla.Rep3b	0	UBERON:skin	UBERON:sebum	UBERON:arm skin	6/1/08	GAZ:United States of America	0	Female day 14 20C Axilla Rep3	true	1624.1	ENVO:urban biome	ENVO:human-associated habitat	human	F01	9606	40.01	-105.27	false	true	353	Rep3b	XXQIITAXX	female	14 days	20C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.Female.D14.4.Axilla.Rep1	0	UBERON:skin	UBERON:sebum	UBERON:arm skin	6/1/08	GAZ:United States of America	0	Female day 14 4C Axilla Rep1	true	1624.1	ENVO:urban biome	ENVO:human-associated habitat	human	F01	9606	40.01	-105.27	false	true	353	Rep1	XXQIITAXX	female	14 days	4C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.Female.D14.4.Axilla.Rep2	0	UBERON:skin	UBERON:sebum	UBERON:arm skin	6/1/08	GAZ:United States of America	0	Female day 14 4C Axilla Rep2	true	1624.1	ENVO:urban biome	ENVO:human-associated habitat	human	F01	9606	40.01	-105.27	false	true	353	Rep2	XXQIITAXX	female	14 days	4C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.Female.D14.4.Axilla.Rep3	0	UBERON:skin	UBERON:sebum	UBERON:arm skin	6/1/08	GAZ:United States of America	0	Female day 14 4C Axilla Rep3	true	1624.1	ENVO:urban biome	ENVO:human-associated habitat	human	F01	9606	40.01	-105.27	false	true	353	Rep3	XXQIITAXX	female	14 days	4C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
353.Female.D14.80.Axilla.Rep1	0	UBERON:skin	UBERON:sebum	UBERON:arm skin	6/1/08	GAZ:United States of America	0	Female day 14 -80C Axilla Rep1	true	1624.1	ENVO:urban biome	ENVO:human-associated habitat	human	F01	9606	40.01	-105.27	false	true	353	Rep1	XXQIITAXX	female	14 days	-80C	Effect of storage conditions on the assessment of bacterial community structure in soil and human-associated samples
